id|name|age|country|value
23816|José Antonio Reyes Calderón|-|Spain|-
19731|Tomáš Ujfaluši|45|Czech Republic|-
3333|David de Gea Quintana|33|Spain|€8.00m
25435|Elias Mendes Trindade|38|Brazil|-
19577|Pedro Manuel Munitis Álvarez|48|Spain|-
26163|Marc Torrejón Moya|37|Spain|-
26073|Gonzalo Colsa Albendea|44|Spain|-
26746|Kennedy Bakircioglu|43|Sweden|-
26615|Francisco Jesús Pérez Malia|41|Spain|-
25358|Henrique Adriano Buss|37|Brazil|€150k
26665|Manuel Jesús Arana Rodríguez|39|Spain|-
26070|Antonio Rodríguez Martínez|43|Spain|-
6557|Adrián González Morales|35|Spain|-
26743|Ariel Gerardo Nahuelpán Osten|30|-|€0
20538|Alexandros Tziolis|38|Greece|-
26009|Roberto Soldado Rillo|38|Spain|-
4711|Pablo Hernández Domínguez|38|Spain|-
25917|César Sánchez Domínguez|52|Spain|-
6350|Manuel Henrique Tavares Fernandes|30|-|€0
3095|Bruno Saltor Grau|43|Spain|-
20128|David Albelda Aliqués|46|Spain|-
3294|Juan Manuel Mata García|35|Spain|€1.00m
20124|Vicente Rodríguez Guillén|42|Spain|-
26609|Pablo Daniel Osvaldo|37|Italy|-
7029|José María Callejón Bueno|36|Spain|€1.20m
6752|Víctor Ruíz Torre|34|Spain|€1.00m
24744|Juan Daniel Forlín|35|Argentina|-
26103|Idriss Carlos Kameni|39|Cameroon|€50k
23916|Luis García Fernández|42|Spain|-
26170|Francisco Javier Chica Torres|38|Spain|-
26729|Jesús Alberto Dátolo|39|Argentina|€25k
6652|Jordi Amat Maas|31|Indonesia|€900k
26138|David García De La Cruz|42|Spain|-
26243|Iván Daniel Alonso Vallejo|44|Uruguay|-
24147|Ernesto Galán Iñigo|37|Spain|-
24035|Álvaro Vázquez García|32|Spain|€250k
26666|Isaías Sánchez Cortés|36|Spain|€200k
26120|Luis Amaranto Perea Mosquera|44|Colombia|-
26677|Álvaro Domínguez Soto|34|Spain|-
26518|Enrique Sola Clemente|37|Spain|-
25912|Ricardo López Felipe|51|Spain|-
